Close,High,Low,Open,Volume,Year,Month,Day,Tenkan_sen,Kijun_sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span
10259.0,10259.0,10259.0,10259.0,0,2010,5,27,10300.125,10589.72509765625,10993.124755859375,10526.49462890625,9743.6201171875
10136.599609375,10136.599609375,10136.599609375,10136.599609375,0,2010,5,28,10242.72509765625,10589.72509765625,11007.224853515625,10526.49462890625,10018.2998046875
10024.0,10024.0,10024.0,10024.0,0,2010,6,1,10209.42529296875,10589.72509765625,11042.324951171875,10621.35009765625,10139.0
10249.5,10249.5,10249.5,10249.5,0,2010,6,2,10116.72509765625,10570.875,11042.675048828125,10621.7001953125,10198.0
10255.2998046875,10255.2998046875,10255.2998046875,10255.2998046875,0,2010,6,3,10116.72509765625,10570.875,11046.97509765625,10652.0498046875,10216.2998046875
9931.9697265625,9931.9697265625,9931.9697265625,9931.9697265625,0,2010,6,4,10095.48486328125,10549.634765625,11059.550048828125,10652.0498046875,10363.0
9816.490234375,9816.490234375,9816.490234375,9816.490234375,0,2010,6,7,10037.7451171875,10484.14501953125,11059.550048828125,10736.89990234375,10366.7001953125
9939.98046875,9939.98046875,9939.98046875,9939.98046875,0,2010,6,8,10037.7451171875,10484.14501953125,11060.800048828125,10743.7001953125,10359.2998046875
9899.25,9899.25,9899.25,9899.25,0,2010,6,9,10037.7451171875,10371.64501953125,11063.10009765625,10743.7001953125,10097.900390625
10172.5,10172.5,10172.5,10172.5,0,2010,6,10,10035.89501953125,10356.6953125,11048.349853515625,10743.7001953125,10154.400390625
10211.099609375,10211.099609375,10211.099609375,10211.099609375,0,2010,6,11,10035.89501953125,10356.6953125,11033.6748046875,10743.7001953125,10230.0
10190.900390625,10190.900390625,10190.900390625,10190.900390625,0,2010,6,14,10035.89501953125,10356.6953125,10862.64990234375,10743.7001953125,10120.5
10404.7998046875,10404.7998046875,10404.7998046875,10404.7998046875,0,2010,6,15,10110.64501953125,10356.6953125,10783.275146484375,10763.0,10322.2998046875
10409.5,10409.5,10409.5,10409.5,0,2010,6,16,10112.9951171875,10356.6953125,10783.275146484375,10763.0,10424.599609375
10434.2001953125,10434.2001953125,10434.2001953125,10434.2001953125,0,2010,6,17,10125.34521484375,10356.6953125,10783.275146484375,10765.14990234375,10525.400390625
10450.599609375,10450.599609375,10450.599609375,10450.599609375,0,2010,6,18,10174.9248046875,10299.7451171875,10779.400146484375,10792.7001953125,10537.7001953125
10442.400390625,10442.400390625,10442.400390625,10442.400390625,0,2010,6,21,10174.9248046875,10221.14501953125,10779.400146484375,10792.7001953125,10497.900390625
10293.5,10293.5,10293.5,10293.5,0,2010,6,22,10311.5498046875,10221.14501953125,10723.150146484375,10792.7001953125,10467.2001953125
10298.400390625,10298.400390625,10298.400390625,10298.400390625,0,2010,6,23,10320.75,10163.7451171875,10715.67529296875,10792.7001953125,10465.900390625
10152.7998046875,10152.7998046875,10152.7998046875,10152.7998046875,0,2010,6,24,10301.69970703125,10133.544921875,10715.67529296875,10792.7001953125,10674.400390625
10143.7998046875,10143.7998046875,10143.7998046875,10143.7998046875,0,2010,6,25,10297.19970703125,10133.544921875,10715.67529296875,10792.7001953125,10636.400390625
10138.5,10138.5,10138.5,10138.5,0,2010,6,28,10294.5498046875,10133.544921875,10559.47509765625,10636.5,10680.400390625
9870.2998046875,9870.2998046875,9870.2998046875,9870.2998046875,0,2010,6,29,10160.44970703125,10133.544921875,10559.47509765625,10636.5,10675.0
9774.01953125,9774.01953125,9774.01953125,9774.01953125,0,2010,6,30,10112.3095703125,10112.3095703125,10558.77490234375,10635.7998046875,10653.599609375
9732.5302734375,9732.5302734375,9732.5302734375,9732.5302734375,0,2010,7,1,10087.46533203125,10091.56494140625,10518.89990234375,10624.39990234375,10698.7998046875
9686.48046875,9686.48046875,9686.48046875,9686.48046875,0,2010,7,2,9992.4404296875,10068.5400390625,10444.925048828125,10589.72509765625,10644.2001953125
9743.6201171875,9743.6201171875,9743.6201171875,9743.6201171875,0,2010,7,6,9992.4404296875,10068.5400390625,10444.925048828125,10589.72509765625,10378.7998046875
10018.2998046875,10018.2998046875,10018.2998046875,10018.2998046875,0,2010,7,7,9919.64013671875,10068.5400390625,10416.22509765625,10589.72509765625,10320.0
10139.0,10139.0,10139.0,10139.0,0,2010,7,8,9915.14013671875,10068.5400390625,10399.5751953125,10589.72509765625,10303.2001953125
10198.0,10198.0,10198.0,10198.0,0,2010,7,9,9942.240234375,10068.5400390625,10343.800048828125,10589.72509765625,10302.0
10216.2998046875,10216.2998046875,10216.2998046875,10216.2998046875,0,2010,7,12,9951.39013671875,10068.5400390625,10343.800048828125,10589.72509765625,10405.7998046875
10363.0,10363.0,10363.0,10363.0,0,2010,7,13,10024.740234375,10068.5400390625,10322.559814453125,10568.48486328125,10415.5
10366.7001953125,10366.7001953125,10366.7001953125,10366.7001953125,0,2010,7,14,10026.59033203125,10068.5400390625,10260.945068359375,10510.7451171875,10271.2001953125
10359.2998046875,10359.2998046875,10359.2998046875,10359.2998046875,0,2010,7,15,10026.59033203125,10068.5400390625,10260.945068359375,10510.7451171875,10213.599609375
10097.900390625,10097.900390625,10097.900390625,10097.900390625,0,2010,7,16,10055.16015625,10068.5400390625,10204.695068359375,10510.7451171875,10174.400390625
10154.400390625,10154.400390625,10154.400390625,10154.400390625,0,2010,7,19,10192.5,10068.5400390625,10196.295166015625,10510.7451171875,10040.5
10230.0,10230.0,10230.0,10230.0,0,2010,7,20,10232.30029296875,10068.5400390625,10196.295166015625,10510.7451171875,10060.099609375
10120.5,10120.5,10120.5,10120.5,0,2010,7,21,10232.30029296875,10068.5400390625,10196.295166015625,10510.7451171875,9985.8095703125
10322.2998046875,10322.2998046875,10322.2998046875,10322.2998046875,0,2010,7,22,10232.30029296875,10068.5400390625,10233.670166015625,10510.7451171875,10150.7001953125
10424.599609375,10424.599609375,10424.599609375,10424.599609375,0,2010,7,23,10261.25,10068.5400390625,10234.84521484375,10510.7451171875,10009.7001953125
10525.400390625,10525.400390625,10525.400390625,10525.400390625,0,2010,7,26,10311.650390625,10105.9404296875,10241.020263671875,10510.7451171875,10014.7001953125
10537.7001953125,10537.7001953125,10537.7001953125,10537.7001953125,0,2010,7,27,10317.80029296875,10112.09033203125,10237.3349609375,10510.7451171875,10269.5
